fuzzer,program,edges_covered
AFL++,bloaty_fuzz_target,6084
AFL++,bloaty_fuzz_target,6053
AFL++,bloaty_fuzz_target,6313
AFL++,bloaty_fuzz_target,6063
AFL++,bloaty_fuzz_target,6302
AFL++,libpng_libpng_read_fuzzer,2004
AFL++,libpng_libpng_read_fuzzer,2005
AFL++,libpng_libpng_read_fuzzer,2001
AFL++,libpng_libpng_read_fuzzer,2004
AFL++,libpng_libpng_read_fuzzer,2007
AFL++,proj4_proj_crs_to_crs_fuzzer,7300
AFL++,proj4_proj_crs_to_crs_fuzzer,6753
AFL++,proj4_proj_crs_to_crs_fuzzer,6853
AFL++,proj4_proj_crs_to_crs_fuzzer,6937
AFL++,proj4_proj_crs_to_crs_fuzzer,6731
Honggfuzz,bloaty_fuzz_target,5907
Honggfuzz,bloaty_fuzz_target,5987
Honggfuzz,bloaty_fuzz_target,6229
Honggfuzz,bloaty_fuzz_target,5920
Honggfuzz,bloaty_fuzz_target,5980
Honggfuzz,libpng_libpng_read_fuzzer,2019
Honggfuzz,libpng_libpng_read_fuzzer,2013
Honggfuzz,libpng_libpng_read_fuzzer,2013
Honggfuzz,libpng_libpng_read_fuzzer,2013
Honggfuzz,libpng_libpng_read_fuzzer,2018
Honggfuzz,proj4_proj_crs_to_crs_fuzzer,7429
Honggfuzz,proj4_proj_crs_to_crs_fuzzer,7742
Honggfuzz,proj4_proj_crs_to_crs_fuzzer,7328
Honggfuzz,proj4_proj_crs_to_crs_fuzzer,7763
Honggfuzz,proj4_proj_crs_to_crs_fuzzer,7411
