fuzzer,program,cycles,execs,paths_total,paths_found,total_edges,edges_found,bitmap_cvg,crashes,duration,region_rate,region_cov,region_tol,line_rate,line_cov,line_tol,branch_rate,branch_cov,branch_tol,function_rate,function_cov,function_tol,W,D
AFL++,COMP_W2_D12_B2,0,6583,-1,-1,10256,2087,20.35%,1,9,34.10920802,6990,20493,34.80245937,5717,16427,23.59365467,3867,16390,100,3,3,2,12
AFL++,COMP_W2_D12_B2,0,6740,-1,-1,10256,2140,20.87%,1,10,34.35319377,7040,20493,35.00943569,5751,16427,23.79499695,3900,16390,100,3,3,2,12
AFL++,COMP_W2_D12_B2,0,3484,-1,-1,10256,857,8.36%,1,5,13.53632948,2774,20493,13.77610032,2263,16427,9.408175717,1542,16390,100,3,3,2,12
AFL++,COMP_W2_D12_B2,0,2337,-1,-1,10256,658,6.42%,1,4,9.84726492,2018,20493,10.10531442,1660,16427,6.882245272,1128,16390,100,3,3,2,12
AFL++,COMP_W2_D12_B2,0,10971,-1,-1,10256,2065,20.13%,1,15,30.79588152,6311,20493,31.10732331,5110,16427,21.56802929,3535,16390,100,3,3,2,12
AFL++,COMP_W2_D12_B2,0,2216,-1,-1,10256,672,6.55%,1,3,11.87722637,2434,20493,12.17507762,2000,16427,8.157413057,1337,16390,100,3,3,2,12
AFL++,COMP_W2_D12_B2,0,15322,-1,-1,10256,2671,26.04%,1,21,38.68638072,7928,20493,39.25853777,6449,16427,27.18120805,4455,16390,100,3,3,2,12
AFL++,COMP_W2_D12_B2,0,6149,-1,-1,10256,1595,15.55%,1,8,23.52998585,4822,20493,23.93620259,3932,16427,16.50396583,2705,16390,100,3,3,2,12
AFL++,COMP_W2_D12_B2,0,1897,-1,-1,10256,558,5.44%,1,3,9.032352511,1851,20493,9.253058988,1520,16427,6.259914582,1026,16390,100,3,3,2,12
AFL++,COMP_W2_D12_B2,0,2153,-1,-1,10256,641,6.25%,1,3,11.47708974,2352,20493,11.80373775,1939,16427,7.876754118,1291,16390,100,3,3,2,12
AFL++,COMP_W2_D12_B2,0,2280,-1,-1,10256,592,5.77%,1,3,8.988435075,1842,20493,9.149570829,1503,16427,6.272117145,1028,16390,100,3,3,2,12
AFL++,COMP_W2_D12_B2,0,5606,-1,-1,10256,1279,12.47%,1,8,19.82140243,4062,20493,20.18019115,3315,16427,13.81330079,2264,16390,100,3,3,2,12
AFL++,COMP_W2_D12_B2,0,8770,-1,-1,10256,1739,16.96%,1,12,25.0085395,5125,20493,25.40938698,4174,16427,17.5899939,2883,16390,100,3,3,2,12
AFL++,COMP_W2_D12_B2,0,1838,-1,-1,10256,528,5.15%,1,3,9.032352511,1851,20493,9.222621294,1515,16427,6.229408176,1021,16390,100,3,3,2,12
AFL++,COMP_W2_D12_B2,0,3500,-1,-1,10256,975,9.51%,1,5,15.23447031,3122,20493,15.58409935,2560,16427,10.59792556,1737,16390,100,3,3,2,12
AFL++,COMP_W2_D12_B2,0,5107,-1,-1,10256,1520,14.82%,1,7,24.44737227,5010,20493,24.92238388,4094,16427,16.94935937,2778,16390,100,3,3,2,12
AFL++,COMP_W2_D12_B2,0,2681,-1,-1,10256,822,8.01%,1,4,14.72697994,3018,20493,15.14579655,2488,16427,10.10372178,1656,16390,100,3,3,2,12
