fuzzer,program,cycles,execs,paths_total,paths_found,total_edges,edges_found,bitmap_cvg,crashes,duration,region_rate,region_cov,region_tol,line_rate,line_cov,line_tol,branch_rate,branch_cov,branch_tol,function_rate,function_cov,function_tol,B
tortoise-loop,COMB_W2_D10_B896,0,9530,736,735,-1,-1,0.04%,1,9,83.0,4290,5133,84.0,3491,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,7511,634,633,-1,-1,0.04%,1,8,76.0,3912,5133,76.0,3189,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,14557,890,889,-1,-1,0.04%,1,12,93.0,4792,5133,93.0,3873,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,6874,583,582,-1,-1,0.04%,1,7,72.0,3715,5133,73.0,3031,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,18750,967,966,-1,-1,0.04%,1,14,97.0,4993,5133,97.0,4026,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,17387,953,952,-1,-1,0.04%,1,13,96.0,4971,5133,96.0,4009,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,25969,1010,1009,-1,-1,0.04%,1,17,99.0,5094,5133,98.0,4103,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,27391,1002,1001,-1,-1,0.04%,1,18,99.0,5085,5133,98.0,4096,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,7223,616,615,-1,-1,0.04%,1,8,75.0,3878,5133,76.0,3164,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,15351,920,919,-1,-1,0.04%,1,12,95.0,4900,5133,95.0,3954,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,1605,165,164,-1,-1,0.04%,1,4,24.0,1275,5133,25.0,1064,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,7419,635,634,-1,-1,0.04%,1,8,77.0,3984,5133,78.0,3246,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,8342,675,674,-1,-1,0.04%,1,9,79.0,4066,5133,79.0,3302,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,14368,907,906,-1,-1,0.04%,1,12,94.0,4833,5133,94.0,3910,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,23208,997,996,-1,-1,0.04%,1,16,98.0,5063,5133,98.0,4082,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,14461,884,883,-1,-1,0.04%,1,12,93.0,4795,5133,93.0,3876,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,11613,815,814,-1,-1,0.04%,1,10,89.0,4595,5133,89.0,3724,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,18510,956,955,-1,-1,0.04%,1,13,96.0,4965,5133,96.0,4008,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,4344,411,410,-1,-1,0.04%,1,6,57.0,2941,5133,58.0,2413,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B896,0,14724,897,896,-1,-1,0.04%,1,12,93.0,4813,5133,93.0,3892,4148,-1.0,-1,-1,100,3,3,896
tortoise-loop,COMB_W2_D10_B352,0,9897,750,749,-1,-1,0.04%,1,9,84.0,4362,5133,85.0,3542,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,8992,701,700,-1,-1,0.04%,1,8,81.0,4184,5133,82.0,3403,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,4828,450,449,-1,-1,0.04%,1,7,61.0,3166,5133,62.0,2589,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,11147,806,805,-1,-1,0.04%,1,10,88.0,4529,5133,88.0,3674,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,4723,452,451,-1,-1,0.04%,1,6,61.0,3146,5133,62.0,2580,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,4084,392,391,-1,-1,0.04%,1,7,55.0,2853,5133,56.0,2342,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,6574,569,568,-1,-1,0.04%,1,7,70.0,3608,5133,71.0,2948,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,4894,454,453,-1,-1,0.04%,1,7,61.0,3159,5133,62.0,2591,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,2708,267,266,-1,-1,0.04%,1,5,40.0,2054,5133,40.0,1699,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,4955,460,459,-1,-1,0.04%,1,7,60.0,3090,5133,61.0,2533,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,4025,384,383,-1,-1,0.04%,1,6,53.0,2754,5133,54.0,2269,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,3829,369,368,-1,-1,0.04%,1,6,53.0,2750,5133,54.0,2254,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,7952,661,660,-1,-1,0.04%,1,9,80.0,4129,5133,80.0,3353,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,8656,687,686,-1,-1,0.04%,1,9,81.0,4182,5133,81.0,3397,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,5424,494,493,-1,-1,0.04%,1,7,65.0,3362,5133,66.0,2749,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,2744,271,270,-1,-1,0.04%,1,5,40.0,2070,5133,41.0,1704,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,5189,473,472,-1,-1,0.04%,1,7,62.0,3228,5133,63.0,2645,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,2241,225,224,-1,-1,0.04%,1,5,34.0,1756,5133,35.0,1455,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,4765,445,444,-1,-1,0.04%,1,6,59.0,3050,5133,60.0,2505,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B352,0,4606,425,424,-1,-1,0.04%,1,7,58.0,3003,5133,59.0,2470,4148,-1.0,-1,-1,100,3,3,352
tortoise-loop,COMB_W2_D10_B224,0,3546,348,347,-1,-1,0.04%,1,6,49.0,2516,5133,49.0,2066,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,3275,322,321,-1,-1,0.04%,1,6,45.0,2345,5133,46.0,1939,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,5331,488,487,-1,-1,0.04%,1,7,65.0,3346,5133,65.0,2725,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,3001,297,296,-1,-1,0.04%,1,6,44.0,2285,5133,45.0,1881,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,2662,267,266,-1,-1,0.04%,2,5,40.0,2056,5133,40.0,1697,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,1885,189,188,-1,-1,0.04%,1,6,28.0,1474,5133,29.0,1228,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,5655,510,509,-1,-1,0.04%,1,8,65.0,3339,5133,65.0,2736,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,4025,385,384,-1,-1,0.04%,1,6,53.0,2762,5133,54.0,2270,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,5829,526,525,-1,-1,0.04%,1,7,66.0,3437,5133,67.0,2810,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,1966,200,199,-1,-1,0.04%,1,5,29.0,1535,5133,30.0,1270,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,5914,527,526,-1,-1,0.04%,1,7,68.0,3493,5133,68.0,2856,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,4536,431,430,-1,-1,0.04%,1,6,58.0,2985,5133,59.0,2448,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,1531,156,155,-1,-1,0.04%,1,5,24.0,1240,5133,24.0,1026,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,3676,353,352,-1,-1,0.04%,1,6,50.0,2594,5133,51.0,2146,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,4628,437,436,-1,-1,0.04%,1,7,58.0,2988,5133,59.0,2449,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,6724,577,576,-1,-1,0.04%,1,8,71.0,3671,5133,72.0,2997,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,4220,400,399,-1,-1,0.04%,1,7,55.0,2857,5133,56.0,2355,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,2718,270,269,-1,-1,0.04%,1,6,40.0,2058,5133,41.0,1706,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,2257,226,225,-1,-1,0.04%,1,5,33.0,1738,5133,34.0,1434,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B224,0,1732,177,176,-1,-1,0.04%,1,5,26.0,1347,5133,27.0,1120,4148,-1.0,-1,-1,100,3,3,224
tortoise-loop,COMB_W2_D10_B800,0,1895,191,190,-1,-1,0.04%,1,5,28.0,1455,5133,29.0,1212,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,7380,627,626,-1,-1,0.04%,1,8,76.0,3929,5133,77.0,3197,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,13447,855,854,-1,-1,0.04%,1,11,91.0,4695,5133,91.0,3802,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,6452,560,559,-1,-1,0.04%,1,8,71.0,3671,5133,72.0,2995,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,13669,885,884,-1,-1,0.04%,1,11,92.0,4763,5133,92.0,3855,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,9580,730,729,-1,-1,0.04%,1,9,84.0,4348,5133,85.0,3527,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,22933,1001,1000,-1,-1,0.04%,1,16,98.0,5078,5133,98.0,4091,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,3699,356,355,-1,-1,0.04%,1,6,51.0,2642,5133,52.0,2174,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,17729,972,971,-1,-1,0.04%,1,13,97.0,5007,5133,97.0,4039,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,17916,953,952,-1,-1,0.04%,1,13,96.0,4967,5133,96.0,4004,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,3442,336,335,-1,-1,0.04%,1,6,49.0,2539,5133,50.0,2092,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,9242,728,727,-1,-1,0.04%,1,9,83.0,4277,5133,83.0,3469,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,5053,463,462,-1,-1,0.04%,1,6,61.0,3165,5133,62.0,2589,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,4899,456,455,-1,-1,0.04%,1,7,60.0,3081,5133,60.0,2525,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,17489,942,941,-1,-1,0.04%,1,13,96.0,4934,5133,96.0,3985,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,5189,474,473,-1,-1,0.04%,1,6,62.0,3202,5133,62.0,2607,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,14002,899,898,-1,-1,0.04%,1,12,93.0,4806,5133,93.0,3886,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,19896,982,981,-1,-1,0.04%,1,15,97.0,5025,5133,97.0,4053,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,10548,777,776,-1,-1,0.04%,1,10,86.0,4460,5133,87.0,3621,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B800,0,21327,984,983,-1,-1,0.04%,1,16,98.0,5034,5133,97.0,4060,4148,-1.0,-1,-1,100,3,3,800
tortoise-loop,COMB_W2_D10_B736,0,9723,731,730,-1,-1,0.04%,1,9,83.0,4272,5133,83.0,3475,4148,-1.0,-1,-1,100,3,3,736
