fuzzer,program,cycles,execs,paths_total,paths_found,total_edges,edges_found,bitmap_cvg,crashes,duration,region_rate,region_cov,region_tol,line_rate,line_cov,line_tol,branch_rate,branch_cov,branch_tol,function_rate,function_cov,function_tol,W,D
tortoise-loop,COMP_W2_D14_B1,0,1999,192,191,-1,-1,0.04%,1,5,2,1660,81933,2,1374,65588,-1,-1,-1,100,3,3,2,14
tortoise-loop,COMP_W2_D14_B1,0,3103,304,303,-1,-1,0.04%,1,6,3,2801,81933,3,2322,65588,-1,-1,-1,100,3,3,2,14
tortoise-loop,COMP_W2_D14_B1,0,1927,185,184,-1,-1,0.04%,1,5,1,1599,81933,2,1329,65588,-1,-1,-1,100,3,3,2,14
tortoise-loop,COMP_W2_D14_B1,0,1894,181,180,-1,-1,0.04%,1,6,1,1592,81933,2,1322,65588,-1,-1,-1,100,3,3,2,14
tortoise-loop,COMP_W2_D14_B1,0,1537,145,144,-1,-1,0.04%,1,5,1,1024,81933,1,855,65588,-1,-1,-1,100,3,3,2,14
tortoise-loop,COMP_W2_D14_B1,0,1620,153,152,-1,-1,0.04%,1,6,1,1147,81933,1,958,65588,-1,-1,-1,100,3,3,2,14
tortoise-loop,COMP_W2_D14_B1,0,2498,244,243,-1,-1,0.04%,1,6,2,2236,81933,2,1854,65588,-1,-1,-1,100,3,3,2,14
tortoise-loop,COMP_W2_D14_B1,0,2349,228,227,-1,-1,0.04%,1,5,2,2248,81933,2,1867,65588,-1,-1,-1,100,3,3,2,14
tortoise-loop,COMP_W2_D14_B1,0,1800,172,171,-1,-1,0.04%,1,6,1,1425,81933,1,1183,65588,-1,-1,-1,100,3,3,2,14
tortoise-loop,COMP_W2_D14_B1,0,2280,219,218,-1,-1,0.04%,1,6,2,1900,81933,2,1576,65588,-1,-1,-1,100,3,3,2,14
tortoise-loop,COMP_W2_D14_B1,0,1763,169,168,-1,-1,0.04%,1,5,1,1340,81933,1,1116,65588,-1,-1,-1,100,3,3,2,14
tortoise-loop,COMP_W2_D14_B1,0,2444,237,236,-1,-1,0.04%,1,6,2,2222,81933,2,1843,65588,-1,-1,-1,100,3,3,2,14
tortoise-loop,COMP_W2_D14_B1,0,1932,185,184,-1,-1,0.04%,1,5,1,1627,81933,2,1350,65588,-1,-1,-1,100,3,3,2,14
tortoise-loop,COMP_W2_D14_B1,0,2094,200,199,-1,-1,0.04%,1,5,2,1893,81933,2,1564,65588,-1,-1,-1,100,3,3,2,14
tortoise-loop,COMP_W2_D14_B1,0,1621,153,152,-1,-1,0.04%,1,5,1,1055,81933,1,877,65588,-1,-1,-1,100,3,3,2,14
tortoise-loop,COMP_W2_D14_B1,0,1890,181,180,-1,-1,0.04%,1,6,2,1666,81933,2,1377,65588,-1,-1,-1,100,3,3,2,14
tortoise-loop,COMP_W2_D14_B1,0,1838,175,174,-1,-1,0.04%,1,6,1,1498,81933,1,1242,65588,-1,-1,-1,100,3,3,2,14
tortoise-loop,COMP_W2_D14_B1,0,2296,222,221,-1,-1,0.04%,1,5,2,1988,81933,2,1645,65588,-1,-1,-1,100,3,3,2,14
