fuzzer,program,cycles,execs,paths_total,paths_found,total_edges,edges_found,bitmap_cvg,crashes,duration,region_rate,region_cov,region_tol,line_rate,line_cov,line_tol,branch_rate,branch_cov,branch_tol,function_rate,function_cov,function_tol,W,D
tortoise-loop,COMP_W16_D2_B1,0,834,91,90,-1,-1,0.03%,2,5,59.0,489,817,55.0,335,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,862,94,93,-1,-1,0.03%,1,4,64.0,526,817,59.0,356,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,856,94,93,-1,-1,0.03%,1,4,59.0,485,817,55.0,334,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,893,97,96,-1,-1,0.03%,1,4,66.0,541,817,60.0,364,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,1000,107,106,-1,-1,0.03%,1,5,71.0,583,817,64.0,389,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,920,100,99,-1,-1,0.03%,1,4,63.0,520,817,59.0,355,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,796,88,87,-1,-1,0.03%,1,5,57.0,468,817,53.0,323,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,863,94,93,-1,-1,0.03%,1,4,57.0,469,817,54.0,325,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,1027,110,109,-1,-1,0.03%,2,4,67.0,551,817,62.0,376,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,814,90,89,-1,-1,0.03%,1,4,57.0,468,817,53.0,321,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,833,92,91,-1,-1,0.03%,1,4,64.0,530,817,59.0,356,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,812,89,88,-1,-1,0.03%,1,4,56.0,458,817,53.0,318,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,941,102,101,-1,-1,0.03%,1,5,67.0,554,817,62.0,374,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,921,100,99,-1,-1,0.03%,1,5,61.0,505,817,57.0,347,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,933,102,101,-1,-1,0.03%,2,4,64.0,529,817,60.0,361,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,848,93,92,-1,-1,0.03%,1,4,57.0,473,817,54.0,329,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,779,86,85,-1,-1,0.03%,1,5,58.0,477,817,54.0,326,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,863,94,93,-1,-1,0.03%,1,5,56.0,461,817,53.0,321,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,853,92,91,-1,-1,0.03%,1,4,68.0,559,817,62.0,372,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W16_D2_B1,0,863,94,93,-1,-1,0.03%,2,5,62.0,509,817,57.0,345,600,-1.0,-1,-1,100,3,3,16,2
tortoise-loop,COMP_W80_D2_B1,0,730,81,80,-1,-1,0.07%,1,4,2.0,539,19377,2.0,344,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,667,74,73,-1,-1,0.07%,1,5,2.0,425,19377,2.0,284,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,676,75,74,-1,-1,0.07%,1,4,2.0,428,19377,2.0,286,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,685,76,75,-1,-1,0.07%,1,5,2.0,429,19377,2.0,287,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,730,81,80,-1,-1,0.07%,1,5,2.0,574,19377,2.0,362,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,712,79,78,-1,-1,0.07%,1,4,2.0,496,19377,2.0,322,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,685,76,75,-1,-1,0.07%,1,4,2.0,429,19377,2.0,287,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,712,79,78,-1,-1,0.07%,1,5,2.0,496,19377,2.0,322,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,694,77,76,-1,-1,0.07%,1,4,2.0,494,19377,2.0,320,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,685,76,75,-1,-1,0.07%,1,5,2.0,429,19377,2.0,287,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,712,79,78,-1,-1,0.07%,1,5,2.0,496,19377,2.0,322,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,694,77,76,-1,-1,0.07%,1,4,2.0,494,19377,2.0,320,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,759,84,83,-1,-1,0.07%,1,4,5.0,1013,19377,4.0,586,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,694,77,76,-1,-1,0.07%,1,5,2.0,494,19377,2.0,320,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,703,78,77,-1,-1,0.07%,1,4,2.0,495,19377,2.0,321,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,685,76,75,-1,-1,0.07%,1,4,2.0,429,19377,2.0,287,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,676,75,74,-1,-1,0.07%,1,4,2.0,428,19377,2.0,286,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,676,75,74,-1,-1,0.07%,1,4,2.0,428,19377,2.0,286,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,678,76,75,-1,-1,0.07%,1,5,2.0,429,19377,2.0,287,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W80_D2_B1,0,712,79,78,-1,-1,0.07%,1,4,2.0,496,19377,2.0,322,13016,-1.0,-1,-1,100,3,3,80,2
tortoise-loop,COMP_W32_D2_B1,0,884,95,94,-1,-1,0.02%,1,4,22.0,724,3153,20.0,453,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,838,93,92,-1,-1,0.02%,1,4,26.0,833,3153,23.0,509,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,786,87,86,-1,-1,0.02%,1,4,18.0,580,3153,17.0,373,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,803,88,87,-1,-1,0.02%,1,5,19.0,629,3153,18.0,400,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,809,89,88,-1,-1,0.02%,1,4,20.0,638,3153,18.0,404,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,749,83,82,-1,-1,0.02%,1,5,16.0,512,3153,15.0,338,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,960,105,104,-1,-1,0.02%,1,4,32.0,1016,3153,28.0,609,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,890,97,96,-1,-1,0.02%,1,5,26.0,826,3153,23.0,506,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,721,80,79,-1,-1,0.02%,1,4,15.0,483,3153,14.0,320,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,846,93,92,-1,-1,0.02%,1,4,26.0,832,3153,23.0,507,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,778,86,85,-1,-1,0.02%,1,5,20.0,648,3153,18.0,409,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,766,85,84,-1,-1,0.02%,1,4,20.0,652,3153,18.0,410,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,818,90,89,-1,-1,0.02%,1,4,23.0,732,3153,20.0,454,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,764,84,83,-1,-1,0.02%,1,5,19.0,625,3153,18.0,395,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,785,87,86,-1,-1,0.02%,1,4,22.0,694,3153,19.0,433,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,859,94,93,-1,-1,0.02%,1,5,28.0,885,3153,24.0,535,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,685,76,75,-1,-1,0.02%,1,4,13.0,415,3153,13.0,283,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,729,81,80,-1,-1,0.02%,1,4,16.0,532,3153,16.0,347,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,826,90,89,-1,-1,0.02%,1,5,24.0,779,3153,22.0,479,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W32_D2_B1,0,788,87,86,-1,-1,0.02%,1,4,20.0,644,3153,18.0,408,2168,-1.0,-1,-1,100,3,3,32,2
tortoise-loop,COMP_W128_D2_B1,0,685,76,75,-1,-1,0.07%,1,4,1.0,543,49425,1.0,342,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,927,101,100,-1,-1,0.07%,1,4,4.0,2456,49425,3.0,1319,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,640,71,70,-1,-1,0.07%,1,5,0.0,476,49425,0.0,306,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,895,97,96,-1,-1,0.07%,1,4,4.0,2218,49425,3.0,1199,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,846,93,92,-1,-1,0.07%,1,5,4.0,1998,49425,3.0,1085,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,872,95,94,-1,-1,0.07%,1,5,2.0,1072,49425,1.0,619,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,875,96,95,-1,-1,0.07%,1,4,2.0,1452,49425,2.0,812,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,897,97,96,-1,-1,0.07%,2,4,3.0,1856,49425,3.0,1017,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,890,98,97,-1,-1,0.07%,1,5,4.0,2268,49425,3.0,1225,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,784,86,85,-1,-1,0.07%,1,5,2.0,1135,49425,1.0,648,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,841,92,91,-1,-1,0.07%,1,4,3.0,1621,49425,2.0,896,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,649,72,71,-1,-1,0.07%,1,5,1.0,539,49425,1.0,338,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,845,93,92,-1,-1,0.07%,1,4,3.0,1514,49425,2.0,842,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,642,72,71,-1,-1,0.07%,1,4,1.0,539,49425,1.0,338,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,649,72,71,-1,-1,0.07%,1,4,1.0,539,49425,1.0,338,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,640,71,70,-1,-1,0.07%,1,5,0.0,476,49425,0.0,306,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,894,98,97,-1,-1,0.07%,1,4,4.0,1989,49425,3.0,1085,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,832,91,90,-1,-1,0.07%,1,5,2.0,1255,49425,2.0,709,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,640,71,70,-1,-1,0.07%,1,5,0.0,476,49425,0.0,306,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W128_D2_B1,0,904,98,97,-1,-1,0.07%,1,4,3.0,1711,49425,2.0,943,33080,-1.0,-1,-1,100,3,3,128,2
tortoise-loop,COMP_W96_D2_B1,0,703,78,77,-1,-1,0.07%,1,5,1.0,533,27857,1.0,339,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,685,76,75,-1,-1,0.07%,1,4,1.0,531,27857,1.0,337,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,933,102,101,-1,-1,0.07%,1,5,6.0,1725,27857,5.0,956,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,633,71,70,-1,-1,0.07%,1,4,1.0,464,27857,1.0,301,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,878,96,95,-1,-1,0.07%,1,5,5.0,1485,27857,4.0,828,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,740,82,81,-1,-1,0.07%,1,4,1.0,536,27857,1.0,342,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,694,77,76,-1,-1,0.07%,1,5,1.0,532,27857,1.0,338,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,799,88,87,-1,-1,0.07%,1,4,3.0,1055,27857,3.0,610,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,696,78,77,-1,-1,0.07%,1,4,1.0,533,27857,1.0,339,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,685,76,75,-1,-1,0.07%,1,4,1.0,531,27857,1.0,337,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,694,77,76,-1,-1,0.07%,1,5,1.0,532,27857,1.0,338,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,733,81,80,-1,-1,0.07%,1,4,2.0,604,27857,2.0,377,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,694,77,76,-1,-1,0.07%,1,5,1.0,532,27857,1.0,338,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,667,74,73,-1,-1,0.07%,1,5,1.0,529,27857,1.0,335,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,703,78,77,-1,-1,0.07%,1,5,1.0,533,27857,1.0,339,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,667,74,73,-1,-1,0.07%,1,4,1.0,529,27857,1.0,335,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,694,77,76,-1,-1,0.07%,1,4,1.0,532,27857,1.0,338,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,761,84,83,-1,-1,0.07%,1,4,2.0,745,27857,2.0,449,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,667,74,73,-1,-1,0.07%,1,4,1.0,529,27857,1.0,335,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W96_D2_B1,0,658,73,72,-1,-1,0.07%,1,4,1.0,528,27857,1.0,334,18680,-1.0,-1,-1,100,3,3,96,2
tortoise-loop,COMP_W112_D2_B1,0,685,76,75,-1,-1,0.07%,1,5,1.0,577,37873,1.0,360,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,903,99,98,-1,-1,0.07%,1,4,4.0,1659,37873,3.0,919,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,649,72,71,-1,-1,0.07%,1,4,1.0,573,37873,1.0,356,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,658,73,72,-1,-1,0.07%,1,4,1.0,574,37873,1.0,357,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,971,105,104,-1,-1,0.07%,1,5,4.0,1611,37873,3.0,901,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,703,78,77,-1,-1,0.07%,1,5,1.0,587,37873,1.0,366,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,921,100,99,-1,-1,0.07%,1,5,4.0,1627,37873,3.0,903,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,667,74,73,-1,-1,0.07%,1,5,1.0,575,37873,1.0,358,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,857,94,93,-1,-1,0.07%,1,4,4.0,1539,37873,3.0,855,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,640,71,70,-1,-1,0.07%,1,4,1.0,510,37873,1.0,324,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,649,72,71,-1,-1,0.07%,1,4,1.0,573,37873,1.0,356,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,633,71,70,-1,-1,0.07%,1,5,1.0,510,37873,1.0,324,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,920,100,99,-1,-1,0.07%,1,5,4.0,1754,37873,3.0,969,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,926,101,100,-1,-1,0.07%,1,5,4.0,1757,37873,3.0,970,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,933,102,101,-1,-1,0.07%,1,5,4.0,1615,37873,3.0,900,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,658,73,72,-1,-1,0.07%,1,4,1.0,574,37873,1.0,357,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,640,71,70,-1,-1,0.07%,1,4,1.0,510,37873,1.0,324,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,789,88,87,-1,-1,0.07%,1,4,3.0,1184,37873,2.0,675,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,724,81,80,-1,-1,0.07%,1,5,1.0,748,37873,1.0,449,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W112_D2_B1,0,694,77,76,-1,-1,0.07%,1,4,1.0,578,37873,1.0,361,25368,-1.0,-1,-1,100,3,3,112,2
tortoise-loop,COMP_W64_D2_B1,0,678,76,75,-1,-1,0.07%,1,5,3.0,485,12433,3.0,315,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,760,84,83,-1,-1,0.07%,1,4,4.0,599,12433,4.0,376,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,795,88,87,-1,-1,0.07%,1,5,6.0,798,12433,5.0,480,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,819,90,89,-1,-1,0.07%,1,4,6.0,847,12433,6.0,506,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,799,88,87,-1,-1,0.07%,1,4,7.0,979,12433,6.0,574,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,847,92,91,-1,-1,0.07%,1,5,9.0,1178,12433,8.0,677,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,816,89,88,-1,-1,0.07%,1,5,6.0,853,12433,6.0,508,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,760,84,83,-1,-1,0.07%,1,4,6.0,759,12433,5.0,458,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,840,93,92,-1,-1,0.07%,1,4,9.0,1122,12433,7.0,649,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,769,85,84,-1,-1,0.07%,1,4,6.0,784,12433,5.0,471,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,811,89,88,-1,-1,0.07%,1,5,7.0,942,12433,6.0,556,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,793,87,86,-1,-1,0.07%,1,4,5.0,697,12433,5.0,427,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,786,86,85,-1,-1,0.07%,1,4,6.0,748,12433,5.0,454,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,749,83,82,-1,-1,0.07%,1,5,6.0,772,12433,5.0,464,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,824,90,89,-1,-1,0.07%,1,5,8.0,1045,12433,7.0,606,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,753,84,83,-1,-1,0.07%,1,4,6.0,755,12433,5.0,457,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,730,81,80,-1,-1,0.07%,1,4,4.0,618,12433,4.0,385,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,982,106,105,-1,-1,0.07%,1,4,9.0,1170,12433,8.0,684,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,744,83,82,-1,-1,0.07%,1,4,6.0,832,12433,5.0,495,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W64_D2_B1,0,728,80,79,-1,-1,0.07%,1,5,4.0,550,12433,4.0,349,8376,-1.0,-1,-1,100,3,3,64,2
tortoise-loop,COMP_W48_D2_B1,0,846,93,92,-1,-1,0.07%,1,4,13.0,970,7025,12.0,574,4760,-1.0,-1,-1,100,3,3,48,2
tortoise-loop,COMP_W48_D2_B1,0,891,97,96,-1,-1,0.07%,1,5,11.0,788,7025,10.0,483,4760,-1.0,-1,-1,100,3,3,48,2
tortoise-loop,COMP_W48_D2_B1,0,791,87,86,-1,-1,0.07%,1,4,10.0,726,7025,9.0,446,4760,-1.0,-1,-1,100,3,3,48,2
