fuzzer,program,cycles,execs,paths_total,paths_found,total_edges,edges_found,bitmap_cvg,crashes,duration,region_rate,region_cov,region_tol,line_rate,line_cov,line_tol,branch_rate,branch_cov,branch_tol,function_rate,function_cov,function_tol,I
tortoise-loop,LOOPD_I500,1372,1304674,12,11,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,1965,1297751,12,11,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,254,1292519,10,9,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,429,1324756,11,10,-1,-1,0.02%,1,614,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,416,1289185,10,9,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,292,1289204,11,10,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,488,1301832,11,10,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,276,1289393,10,9,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,373,1291832,9,8,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,1300,1287438,11,10,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,344,1336956,9,8,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,1382,1288990,11,10,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,356,1292844,10,9,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,393,1287598,9,8,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,1279,1289692,11,10,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,384,1301822,10,9,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,306,1294054,11,10,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,286,1299930,10,9,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,1302,1341074,12,11,-1,-1,0.02%,1,626,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I500,292,1293873,10,9,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,500
tortoise-loop,LOOPD_I50,0,53892,9,8,-1,-1,0.01%,1,28,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,5,53626,11,10,-1,-1,0.01%,1,29,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,0,61318,10,9,-1,-1,0.01%,1,32,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,0,42522,10,9,-1,-1,0.01%,1,23,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,7,67788,11,10,-1,-1,0.01%,1,34,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,0,37892,10,9,-1,-1,0.01%,1,21,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,0,56414,10,9,-1,-1,0.01%,1,29,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,3,50511,10,9,-1,-1,0.01%,1,26,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,4,59331,11,10,-1,-1,0.01%,1,31,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,0,55557,10,9,-1,-1,0.01%,1,29,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,0,55623,9,8,-1,-1,0.01%,1,30,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,0,44602,11,10,-1,-1,0.01%,1,24,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,0,52321,10,9,-1,-1,0.01%,1,28,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,0,51908,10,9,-1,-1,0.01%,1,27,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,0,42703,10,9,-1,-1,0.01%,1,23,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,0,7837,9,8,-1,-1,0.01%,1,7,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,0,37937,10,9,-1,-1,0.01%,1,21,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,2,56491,11,10,-1,-1,0.01%,1,30,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,0,53054,10,9,-1,-1,0.01%,1,28,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I50,2,62511,11,10,-1,-1,0.01%,1,32,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,50
tortoise-loop,LOOPD_I200,245,1340328,11,10,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,282,1349647,9,8,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,356,1342786,10,9,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,500,1337625,10,9,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,712,1339947,11,10,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,417,1349410,10,9,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,1468,1340981,11,10,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,1392,1343889,12,11,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,1409,1336648,11,10,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,425,1335649,9,8,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,267,1334984,9,8,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,380,1340448,10,9,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,484,1341571,9,8,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,411,1339302,9,8,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,442,1339417,9,8,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,1423,1338776,11,10,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,1332,1336131,11,10,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,243,1335662,11,10,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,320,1344578,10,9,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I200,533,1347490,10,9,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,200
tortoise-loop,LOOPD_I300,446,1337524,11,10,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,305,1335601,9,8,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,479,1364147,11,10,-1,-1,0.02%,1,615,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,414,1336342,11,10,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,419,1336900,10,9,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,500,1343790,10,9,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,294,1337815,11,10,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,332,1332843,10,9,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,389,1341012,10,9,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,329,1336260,10,9,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,1292,1336263,12,11,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,302,1339826,10,9,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,1342,1337932,11,10,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,341,1338281,11,10,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,427,1336533,10,9,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,377,1339473,11,10,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,1363,1337289,12,11,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,1313,1337834,11,10,-1,-1,0.02%,1,605,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,317,1359216,11,10,-1,-1,0.02%,1,614,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I300,444,1339631,9,8,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,300
tortoise-loop,LOOPD_I150,477,1341989,10,9,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,150
tortoise-loop,LOOPD_I150,331,1291252,10,9,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,150
tortoise-loop,LOOPD_I150,484,1295300,10,9,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,150
tortoise-loop,LOOPD_I150,311,1325279,10,9,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,150
tortoise-loop,LOOPD_I150,278,1290471,9,8,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,150
tortoise-loop,LOOPD_I150,1187,1289567,12,11,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,150
tortoise-loop,LOOPD_I150,385,1290195,11,10,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,150
tortoise-loop,LOOPD_I150,320,1286214,10,9,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,150
tortoise-loop,LOOPD_I150,1271,1292472,12,11,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,150
tortoise-loop,LOOPD_I150,289,1291093,10,9,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,150
tortoise-loop,LOOPD_I150,306,1291593,10,9,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,150
tortoise-loop,LOOPD_I150,318,1122205,11,10,-1,-1,0.02%,1,526,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,150
tortoise-loop,LOOPD_I150,271,1288207,10,9,-1,-1,0.02%,1,604,36.0,17,46,35.0,34,97,-1.0,-1,-1,25,2,8,150
