fuzzer,program,cycles,execs,paths_total,paths_found,total_edges,edges_found,bitmap_cvg,crashes,duration,region_rate,region_cov,region_tol,line_rate,line_cov,line_tol,branch_rate,branch_cov,branch_tol,function_rate,function_cov,function_tol,D
tortoise-loop,MAGIC_D5_L5_CHAR,111,401724,6,5,-1,-1,0.03%,1,188,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,0,13095,6,5,-1,-1,0.02%,1,10,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,73,197831,6,5,-1,-1,0.03%,1,95,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,59,307150,6,5,-1,-1,0.03%,1,145,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,50,193284,6,5,-1,-1,0.03%,1,92,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,58,276076,6,5,-1,-1,0.03%,1,130,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,63,183291,6,5,-1,-1,0.02%,1,88,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,82,189438,6,5,-1,-1,0.02%,1,91,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,176,661659,6,5,-1,-1,0.03%,1,307,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,36,179638,6,5,-1,-1,0.03%,1,86,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,292,1268791,6,5,-1,-1,0.03%,1,584,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,0,16162,6,5,-1,-1,0.02%,1,11,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,187,985307,6,5,-1,-1,0.03%,1,455,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,33,149578,6,5,-1,-1,0.03%,1,73,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,21,70571,6,5,-1,-1,0.02%,1,36,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,100,177085,6,5,-1,-1,0.02%,1,85,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,80,376615,6,5,-1,-1,0.03%,1,176,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,137,609287,6,5,-1,-1,0.03%,1,283,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,171,331126,6,5,-1,-1,0.02%,1,155,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D5_L5_CHAR,0,13284,6,5,-1,-1,0.02%,1,10,44.0,23,52,40.0,42,105,-1.0,-1,-1,25,2,8,5
tortoise-loop,MAGIC_D6_L6_CHAR,280,844444,7,6,-1,-1,0.03%,1,388,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,25,97357,7,6,-1,-1,0.02%,1,48,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,0,17770,7,6,-1,-1,0.02%,1,12,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,108,759399,7,6,-1,-1,0.03%,1,350,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,36,225519,7,6,-1,-1,0.03%,1,107,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,437,2985285,7,6,-1,-1,0.03%,1,1367,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,4,47763,7,6,-1,-1,0.02%,1,26,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,5,48747,7,6,-1,-1,0.02%,1,26,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,37,124520,7,6,-1,-1,0.02%,1,61,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,63,339795,7,6,-1,-1,0.03%,1,158,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,137,821729,7,6,-1,-1,0.03%,1,381,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,62,284834,7,6,-1,-1,0.03%,1,135,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,543,2793152,7,6,-1,-1,0.03%,1,1276,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,75,172790,7,6,-1,-1,0.02%,1,83,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,366,2406816,7,6,-1,-1,0.03%,1,1109,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,203,1308522,7,6,-1,-1,0.03%,1,599,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,104,595539,7,6,-1,-1,0.03%,1,277,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,0,17382,7,6,-1,-1,0.02%,1,12,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,2,24579,7,6,-1,-1,0.02%,1,15,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D6_L6_CHAR,57,333292,7,6,-1,-1,0.03%,1,155,46.0,25,54,41.0,44,107,-1.0,-1,-1,25,2,8,6
tortoise-loop,MAGIC_D10_L10_CHAR,187,2765459,11,10,-1,-1,0.05%,1,1363,53.0,33,62,45.0,52,115,-1.0,-1,-1,25,2,8,10
tortoise-loop,MAGIC_D11_L11_CHAR,593,6002801,12,11,-1,-1,0.04%,1,2741,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,968,12606623,12,11,-1,-1,0.05%,1,6026,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,592,8566146,12,11,-1,-1,0.05%,1,4066,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,314,4723004,12,11,-1,-1,0.05%,1,2234,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,98,1481489,12,11,-1,-1,0.05%,1,714,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,218,3716171,12,11,-1,-1,0.05%,1,1793,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,346,5211099,12,11,-1,-1,0.05%,1,2468,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,176,2978453,12,11,-1,-1,0.05%,1,1420,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,155,1479407,12,11,-1,-1,0.04%,1,707,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,310,5718483,12,11,-1,-1,0.05%,1,2693,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,134,2270371,12,11,-1,-1,0.05%,1,1105,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,110,1244217,12,11,-1,-1,0.05%,1,608,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,121,1492178,12,11,-1,-1,0.04%,1,711,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,259,3580960,12,11,-1,-1,0.05%,1,1738,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,413,6612187,12,11,-1,-1,0.05%,1,3154,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,436,7777684,12,11,-1,-1,0.05%,1,3672,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,215,2979080,12,11,-1,-1,0.05%,1,1455,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,293,4500492,12,11,-1,-1,0.05%,1,2055,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,207,2446900,12,11,-1,-1,0.05%,1,1150,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D11_L11_CHAR,141,1625106,12,11,-1,-1,0.04%,1,773,54.0,35,64,46.0,54,117,-1.0,-1,-1,25,2,8,11
tortoise-loop,MAGIC_D4_L4_CHAR,27,74915,5,4,-1,-1,0.01%,1,38,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,0,9538,5,4,-1,-1,0.01%,1,9,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,41,96370,5,4,-1,-1,0.01%,1,48,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,158,294496,5,4,-1,-1,0.02%,1,138,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,159,506625,5,4,-1,-1,0.03%,1,237,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
tortoise-loop,MAGIC_D4_L4_CHAR,96,171413,5,4,-1,-1,0.02%,1,82,42.0,21,50,38.0,40,103,-1.0,-1,-1,25,2,8,4
