fuzzer,program,cycles,execs,paths_total,paths_found,total_edges,edges_found,bitmap_cvg,crashes,duration,region_rate,region_cov,region_tol,line_rate,line_cov,line_tol,branch_rate,branch_cov,branch_tol,function_rate,function_cov,function_tol,L
tortoise-loop,MAGIC_D1_L2_STR,257,135081,2,1,-1,-1,0.02%,1,66,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,159,84688,2,1,-1,-1,0.01%,1,43,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,1054,542950,2,1,-1,-1,0.02%,1,252,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,217,114625,2,1,-1,-1,0.01%,1,57,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,9,7548,2,1,-1,-1,0.01%,1,8,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,973,501546,2,1,-1,-1,0.02%,1,236,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,257,134818,2,1,-1,-1,0.02%,1,66,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,112,60571,2,1,-1,-1,0.01%,1,32,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,51,29032,2,1,-1,-1,0.01%,1,18,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,258,135241,2,1,-1,-1,0.02%,1,66,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,555,287664,2,1,-1,-1,0.02%,1,137,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,182,96190,2,1,-1,-1,0.01%,1,48,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,336,175264,2,1,-1,-1,0.02%,1,85,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,265,139103,2,1,-1,-1,0.02%,1,68,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,608,314912,2,1,-1,-1,0.02%,1,150,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,701,362171,2,1,-1,-1,0.02%,1,170,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,565,292298,2,1,-1,-1,0.02%,1,140,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,348,181285,2,1,-1,-1,0.02%,1,87,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,35,21511,2,1,-1,-1,0.01%,1,14,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L2_STR,482,250105,2,1,-1,-1,0.02%,1,118,34.0,15,44,36.0,35,97,-1.0,-1,-1,25,2,8,2
tortoise-loop,MAGIC_D1_L1_STR,0,453,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,473,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,441,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,473,1,0,-1,-1,0.01%,1,5,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,473,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,441,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,441,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,441,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,473,1,0,-1,-1,0.01%,1,5,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,441,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,453,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,441,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,473,1,0,-1,-1,0.01%,1,5,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,453,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,473,1,0,-1,-1,0.01%,1,5,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,441,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,453,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,441,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,473,1,0,-1,-1,0.01%,1,5,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
tortoise-loop,MAGIC_D1_L1_STR,0,473,1,0,-1,-1,0.01%,1,4,31.0,14,44,32.0,32,97,-1.0,-1,-1,25,2,8,1
honggfuzz,MAGIC_D1_L6_STR,72,230,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,156,232,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,414,233,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
honggfuzz,MAGIC_D1_L6_STR,206,233,-1,-1,-1,-1,-1,1,1,34.090909090909086,15,44,28.08988764044944,25,89,29.166666666666668,7,24,25,2,8,6
