fuzzer,program,cycles,execs,paths_total,paths_found,total_edges,edges_found,bitmap_cvg,crashes,duration,region_rate,region_cov,region_tol,line_rate,line_cov,line_tol,branch_rate,branch_cov,branch_tol,function_rate,function_cov,function_tol,D,S
tortoise-loop,MAGIC_D1_L61_CHAR,20,23922,2,1,-1,-1,0.01%,1,15,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,0,929,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,22,24919,2,1,-1,-1,0.01%,1,15,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,0,3593,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,0,14085,2,1,-1,-1,0.01%,1,10,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,49,39889,2,1,-1,-1,0.01%,1,22,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,10,18684,2,1,-1,-1,0.01%,1,12,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,24,25882,2,1,-1,-1,0.01%,1,16,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,0,12424,2,1,-1,-1,0.01%,1,9,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,147,89895,2,1,-1,-1,0.01%,1,45,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,30,30300,2,1,-1,-1,0.01%,1,18,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,6,16251,2,1,-1,-1,0.01%,1,12,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,0,3704,2,1,-1,-1,0.01%,1,6,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,19,23548,2,1,-1,-1,0.01%,1,15,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,14,21681,2,1,-1,-1,0.01%,1,14,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,0,7544,2,1,-1,-1,0.01%,1,7,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,0,7500,2,1,-1,-1,0.01%,1,7,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,11,20734,2,1,-1,-1,0.01%,1,13,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,62,46194,2,1,-1,-1,0.01%,1,25,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L61_CHAR,0,7749,2,1,-1,-1,0.01%,1,7,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,61
tortoise-loop,MAGIC_D1_L31_CHAR,0,4861,2,1,-1,-1,0.01%,1,7,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,0,3086,2,1,-1,-1,0.01%,1,5,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
tortoise-loop,MAGIC_D1_L31_CHAR,5,10832,2,1,-1,-1,0.01%,1,9,34,15,44,36,35,97,-1,-1,-1,25,2,8,1,31
