fuzzer,program,cycles,execs,paths_total,paths_found,total_edges,edges_found,bitmap_cvg,crashes,duration,region_rate,region_cov,region_tol,line_rate,line_cov,line_tol,branch_rate,branch_cov,branch_tol,function_rate,function_cov,function_tol,C,D
tortoise-loop,CHECKSUM_L16_C1_D1,0,2228,2,1,-1,-1,0.01%,1,5,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,2,7863,2,1,-1,-1,0.01%,1,8,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,0,1418,2,1,-1,-1,0.01%,1,5,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,2,7281,2,1,-1,-1,0.01%,1,8,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,0,942,2,1,-1,-1,0.01%,1,4,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,0,2296,2,1,-1,-1,0.01%,1,5,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,0,1715,2,1,-1,-1,0.01%,1,5,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,0,1786,2,1,-1,-1,0.01%,1,5,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,3,8171,2,1,-1,-1,0.01%,1,8,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,0,926,2,1,-1,-1,0.01%,1,5,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,3,8028,2,1,-1,-1,0.01%,1,8,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,0,5992,2,1,-1,-1,0.01%,1,7,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,0,910,2,1,-1,-1,0.01%,1,4,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
tortoise-loop,CHECKSUM_L16_C1_D1,0,1418,2,1,-1,-1,0.01%,1,4,52.0,23,44,50.0,49,97,-1.0,-1,-1,50,4,8,1,1
