fuzzer,program,cycles,execs,paths_total,paths_found,total_edges,edges_found,bitmap_cvg,crashes,duration,region_rate,region_cov,region_tol,line_rate,line_cov,line_tol,branch_rate,branch_cov,branch_tol,function_rate,function_cov,function_tol,W,weight
tortoise-loop,COMWE_W5_D10_B1,0,1662,49,48,-1,-1,0.04%,1,5,6,198,3087,6,284,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1267,36,35,-1,-1,0.04%,1,5,4,145,3087,5,211,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1281,37,36,-1,-1,0.04%,2,5,5,159,3087,5,229,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1586,46,45,-1,-1,0.04%,2,5,5,182,3087,6,260,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1143,32,31,-1,-1,0.04%,1,5,4,135,3087,4,197,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1238,37,36,-1,-1,0.04%,2,5,4,152,3087,5,222,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1274,39,38,-1,-1,0.04%,1,5,4,150,3087,5,219,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1248,38,37,-1,-1,0.04%,2,4,5,166,3087,5,237,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1342,44,43,-1,-1,0.04%,2,4,5,173,3087,5,244,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1250,39,38,-1,-1,0.04%,2,4,5,158,3087,5,231,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1657,51,50,-1,-1,0.04%,2,5,5,177,3087,6,253,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1418,43,42,-1,-1,0.04%,1,5,5,166,3087,5,238,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1261,39,38,-1,-1,0.04%,1,5,5,159,3087,5,230,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1229,37,36,-1,-1,0.04%,1,5,4,146,3087,5,214,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1226,36,35,-1,-1,0.04%,1,5,4,147,3087,5,213,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1317,43,42,-1,-1,0.04%,2,5,5,164,3087,5,236,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1286,37,36,-1,-1,0.04%,1,4,5,155,3087,5,227,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1180,34,33,-1,-1,0.04%,1,5,4,141,3087,4,206,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1286,41,40,-1,-1,0.04%,1,5,5,161,3087,5,232,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W5_D10_B1,0,1309,39,38,-1,-1,0.04%,1,4,5,158,3087,5,228,4148,-1,-1,-1,100,3,3,5,0.0000001024
tortoise-loop,COMWE_W2_D10_B1,0,3156,287,286,-1,-1,0.04%,1,5,45,1398,3087,44,1841,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,3962,370,369,-1,-1,0.04%,2,6,56,1749,3087,55,2291,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,3501,324,323,-1,-1,0.04%,1,6,51,1594,3087,50,2082,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,3464,319,318,-1,-1,0.04%,1,6,49,1527,3087,48,2007,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,3369,310,309,-1,-1,0.04%,1,5,49,1523,3087,48,2007,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,4863,462,461,-1,-1,0.04%,1,6,65,2037,3087,64,2683,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,3565,331,330,-1,-1,0.04%,1,5,52,1624,3087,51,2124,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,3558,329,328,-1,-1,0.04%,1,5,50,1571,3087,49,2070,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,4069,380,379,-1,-1,0.04%,1,6,57,1788,3087,56,2350,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,3536,327,326,-1,-1,0.04%,1,6,51,1598,3087,50,2106,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,3502,324,323,-1,-1,0.04%,1,6,50,1558,3087,49,2054,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,3488,322,321,-1,-1,0.04%,1,6,50,1559,3087,49,2050,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,3212,293,292,-1,-1,0.04%,1,6,47,1456,3087,46,1913,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,3042,275,274,-1,-1,0.04%,1,5,44,1364,3087,43,1800,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,3244,297,296,-1,-1,0.04%,1,5,47,1467,3087,46,1923,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,3089,280,279,-1,-1,0.04%,1,6,45,1393,3087,44,1835,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,3567,331,330,-1,-1,0.04%,1,5,50,1568,3087,49,2057,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,3642,338,337,-1,-1,0.04%,1,6,53,1655,3087,52,2169,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,3026,274,273,-1,-1,0.04%,1,6,43,1330,3087,42,1755,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W2_D10_B1,0,3527,326,325,-1,-1,0.04%,1,5,51,1587,3087,50,2085,4148,-1,-1,-1,100,3,3,2,0.0009765625
tortoise-loop,COMWE_W3_D10_B1,0,1670,90,89,-1,-1,0.04%,1,5,13,416,3087,13,569,4148,-1,-1,-1,100,3,3,3,0.00001693508781
tortoise-loop,COMWE_W3_D10_B1,0,1694,92,91,-1,-1,0.04%,2,5,14,443,3087,14,614,4148,-1,-1,-1,100,3,3,3,0.00001693508781
